WMO_INDEX,GSOD,GHCN,MAKT
68032,680320-99999,BC000068032,Yes
68054,680540-99999,BC008948490,Yes
68110,681100-99999,WA007401540,Yes
68116,681160-99999,WA007878380,Yes
68174,681740-99999,SFM00068174,Yes
68184,681840-99999,SF005547860,
68241,682410-99999,SF005082610,
68262,682620-99999,SFM00068262,Yes
68296,682960-99999,SF000068296,Yes
68312,683120-99999,WA004191820,Yes
68322,683220-99999,BC004612080,Yes
68328,683280-99999,BC000068328,Yes
68335,683350-99999,SF003605120,Yes
68338,683380-99999,SF004322370,Yes
68341,683410-99999,SF004722810,Yes
68342,683420-99999,SF004348880,Yes
68350,683500-99999,SF004371040,Yes
68387,683870-99999,SF003724960,Yes
68396,683960-99999,WZ004455110,Yes
68411,684110-99999,SF002760720,Yes
68424,684240-99999,SF003174470,Yes
68429,684290-99999,SF003211100,Yes
68438,684380-99999,SF000068438,Yes
68442,684420-99999,SF002613650,Yes
68449,684490-99999,SF002966820,Yes
68471,684710-99999,SF003336820,Yes
68497,684970-99999,SF003044460,Yes
68512,685120-99999,SF002146700,Yes
68538,685380-99999,SFM00068538,Yes
68546,685460-99999,SF001753710,Yes
68558,685580-99999,SF001771780,Yes
68580,685800-99999,SF002394820,Yes
68588,685880-99999,SFM00068588,Yes
68618,686180-99999,SF001344780,Yes
68624,686240-99999,SF001130250,Yes
68633,686330-99999,SF001447910,Yes
68649,686490-99999,SF001485170,Yes
68651,686510-99999,SF001506200,Yes
68674,686740-99999,SF001290070,Yes
68712,687120-99999,SF000068712,Yes
68715,687150-99999,SF000414170,Yes
68718,687180-99999,SF000236780,Yes
68723,687230-99999,SF000456110,Yes
68744,687440-99999,SF000981900,Yes
68747,687470-99999,SF000782270,Yes
68754,687540-99999,SF000798110,Yes
68815,688150-99999,SF000400350,
68816,688160-99999,SFM00068816,Yes
68821,688210-99999,SF000227590,Yes
68828,688280-99999,SF000288380,Yes
68832,688320-99999,SF000508870,Yes
68839,688390-99999,SF000347620,Yes
68842,688420-99999,SFM00068842,Yes
68849,688490-99999,SF000570480,Yes
68858,688580-99999,SF000068858,Yes
68906,689060-99999,SHM00068906,Yes
68920,689200-99999,SF000030320,Yes
68926,689260-99999,SF000104560,Yes
68994,689940-99999,SF000068994,Yes
69023,,USW00024255,
70026,,USW00027502,
70030,700300-99999,USW00027503,
70086,700860-99999,USW00027401,
70133,,USW00026616,Yes
70174,,USW00026533,Yes
70178,,USW00026529,
70200,,USW00026617,Yes
70207,702070-99999,USW00026627,
70219,,USW00026615,Yes
70231,,USW00026510,Yes
70246,702460-99999,USC00505881,
70249,702490-99999,USC00507783,
70251,,USW00026528,Yes
70259,,USW00026523,
70260,702600-99999,USW00026435,Yes
70261,,USW00026411,Yes
70267,,USW00026415,Yes
70271,,USW00026425,Yes
70273,,USW00026451,Yes
70277,702770-99999,USW00026438,
70291,,USW00026412,
70296,,USW00026410,
70308,,USW00025713,
70316,,USW00025624,Yes
70326,,USW00025503,Yes
70340,,USW00025506,Yes
70341,,USW00025507,
70343,703430-99999,USW00025402,Yes
70350,,USW00025501,Yes
70361,,USW00025339,Yes
70362,,USC00508525,
70367,703670-99999,USW00025322,
70371,,USW00025333,
70381,,USW00025309,Yes
70386,703860-99999,USW00025329,
70395,,USW00025325,
70398,,USW00025308,
70454,704540-99999,USW00025704,Yes
71018,710180-99999,CA002403505,Yes
71020,710200-99999,CA002204300,Yes
71024,710240-99999,CA003072723,Yes
71026,710260-99999,CA003034485,Yes
71028,710280-99999,CA001088015,Yes
71043,710430-99999,CA002202800,Yes
71044,710440-99999,CA002100805,Yes
71045,710450-99999,CA002101102,Yes
71051,710510-99999,CA003044203,Yes
71063,710630-99999,CA006105978,Yes
71066,710660-99999,CA003073140,Yes
71068,710680-99999,CA003075040,Yes
71069,710690-99999,CA003066002,Yes
71072,710720-99999,CA006048260,Yes
71073,710730-99999,CA003035342,Yes
71074,710740-99999,CA002402604,Yes
71076,710760-99999,CA004068340,Yes
71077,710770-99999,CA004060982,Yes
71078,710780-99999,CA005061648,Yes
71079,710790-99999,CA005062922,Yes
71081,710810-99999,CA002402350,Yes
71082,710820-99999,CA002400306,
71090,710900-99999,CA002400800,Yes
71092,710920-99999,CA002401030,Yes
71093,710930-99999,CA002400660,Yes
71094,710940-99999,CA002400650,Yes
71096,710960-99999,CA002400570,Yes
71101,711010-99999,,Yes
71103,711030-99999,CA001096601,
71104,711040-99999,CA001098940,Yes
71107,711070-99999,CA001051350,Yes
71108,711080-99999,CA001100030,Yes
71109,711090-99999,CA001026270,Yes
71113,711130-99999,CA001100119,Yes
71115,711150-99999,CA001128582,Yes
71116,711160-99999,CA003044923,Yes
71120,711200-99999,CA003081680,Yes
71121,711210-99999,CA003012210,Yes
71122,711220-99999,CA003050519,Yes
71123,711230-99999,CA003012205,Yes
71129,711290-99999,CA004043900,Yes
71137,711370-99999,CA004038412,Yes
71138,711380-99999,CA004019080,
71140,711400-99999,CA005010480,Yes
71141,711410-99999,CA002402332,Yes
71148,711480-99999,CA005022125,Yes
71158,711580-99999,CA005030203,Yes
71160,711600-99999,CA002201903,Yes
71173,,CA001173210,
71182,711820-99999,,
71183,711830-99999,CA00702S006,Yes
71185,711850-99999,CA008401400,Yes
71188,711880-99999,CA007052605,Yes
71197,711970-99999,CA008402450,Yes
71199,711990-99999,CA002101204,Yes
71200,712000-99999,CA001018610,Yes
71201,712010-99999,CA001108446,Yes
71203,712030-99999,CA001123939,Yes
71206,712060-99999,CA001060841,
71218,712180-99999,CA00116FRMN,Yes
71222,712220-99999,CA00119BLM0,Yes
71226,712260-99999,CA003063165,Yes
71230,712300-99999,CA003070600,Yes
71234,712340-99999,CA003031640,Yes
71239,712390-99999,CA005010641,Yes
71242,712420-99999,CA003023722,Yes
71243,712430-99999,CA003033890,Yes
71251,712510-99999,CA003036682,Yes
